id,source_idx,destination_idx,news_idx,is_fake_news,is_political_news
0,284,23,137,False,True
1,35,412,419,True,False
2,84,365,454,False,True
3,204,16,384,False,False
4,22,452,859,True,False
5,209,400,388,True,False
6,347,382,901,False,False
7,127,130,792,False,False
8,227,484,864,False,True
9,427,222,900,False,True
10,355,236,905,True,False
11,156,92,631,False,False
12,312,357,908,False,False
13,281,343,258,True,False
14,137,282,91,False,False
15,149,60,887,False,True
16,56,424,189,True,True
17,110,256,647,True,True
18,452,111,917,True,True
19,204,20,830,True,True
20,346,246,874,False,True
21,460,329,629,False,False
22,493,96,731,True,True
23,61,320,986,True,False
24,371,224,80,False,False
25,149,331,607,False,False
26,379,201,534,True,True
27,87,300,915,True,True
28,348,138,765,False,False
29,407,130,904,True,False
30,276,228,270,False,True
31,51,96,678,False,False
32,336,97,745,False,False
33,67,409,597,True,False
34,82,431,377,True,True
35,487,332,79,False,False
36,119,436,484,False,True
37,172,381,498,True,False
38,366,467,475,True,True
39,338,170,706,True,True
40,439,472,605,False,False
41,219,119,951,False,False
42,474,497,736,True,False
43,27,218,470,True,False
44,130,399,54,True,True
45,163,92,222,True,True
46,379,256,824,True,False
47,130,326,710,True,True
48,256,30,203,True,False
49,374,5,22,False,True
50,175,226,384,False,False
51,298,397,249,True,True
52,79,37,852,True,False
53,327,286,420,True,False
54,117,246,867,False,False
55,367,490,579,True,True
56,374,155,979,False,False
57,367,497,248,True,True
58,306,498,814,False,False
59,54,24,362,True,True
60,407,257,420,True,False
61,366,269,901,False,False
62,69,45,349,False,True
63,47,413,654,True,False
64,429,324,219,True,True
65,352,198,852,True,False
66,263,272,460,False,True
67,480,436,158,True,True
68,323,103,301,False,True
69,142,95,705,False,False
70,198,50,560,False,False
71,283,45,3,True,True
72,425,362,559,True,True
73,91,359,711,True,False
74,499,204,81,True,True
75,96,282,404,False,False
76,412,378,721,True,False
77,263,267,607,False,False
78,297,218,848,True,True
79,44,352,963,False,True
80,49,98,33,True,True
81,408,208,782,False,False
82,66,240,787,True,False
83,31,378,971,True,False
84,224,221,699,False,False
85,415,279,405,True,False
86,129,116,411,True,False
87,124,78,534,True,True
88,209,391,262,False,True
89,413,49,535,False,True
90,188,58,559,True,True
91,197,31,296,False,False
92,103,438,25,False,True
93,19,447,784,True,True
94,398,265,987,False,True
95,423,451,118,True,True
96,311,442,132,True,False
97,72,413,261,True,False
98,15,158,854,False,False
99,180,493,62,False,False
100,390,434,561,False,False
101,139,49,211,False,True
102,483,199,205,False,True
103,16,37,817,True,True
104,170,365,624,False,True
105,392,225,812,True,False
106,32,82,478,True,False
107,181,249,706,True,True
108,347,42,694,True,True
109,158,344,437,False,False
110,286,198,225,False,False
111,470,143,289,True,False
112,221,48,411,True,False
113,449,267,465,False,True
114,59,186,394,False,False
115,475,317,377,True,True
116,334,252,703,False,True
117,228,256,663,True,False
118,83,40,87,True,True
119,403,397,448,False,True
120,208,196,886,True,False
121,317,463,540,True,False
122,33,30,668,True,True
123,437,45,733,True,True
124,144,234,673,True,True
125,185,38,373,False,False
126,458,31,604,True,False
127,361,57,780,True,True
128,45,156,672,True,False
129,248,42,134,True,False
130,238,439,335,True,False
131,455,296,906,False,False
132,321,41,389,True,False
133,310,22,541,True,True
134,45,427,362,True,True
135,112,354,818,False,False
136,321,433,835,False,False
137,137,468,184,False,True
138,79,433,869,False,True
139,391,184,959,False,False
140,195,327,536,False,False
141,197,39,105,True,True
142,412,473,265,True,False
143,81,164,992,True,True
144,450,425,528,True,True
145,215,180,425,False,False
146,210,438,295,False,False
147,294,385,387,True,False
148,415,435,71,False,True
149,382,119,729,True,False
150,353,104,552,False,True
151,466,450,759,True,True
152,27,169,588,True,True
153,259,60,155,True,True
154,200,407,303,False,True
155,457,244,962,True,False
156,237,40,740,True,True
157,86,358,863,True,False
158,298,381,896,True,True
159,463,419,806,False,False
160,433,344,751,False,True
161,466,285,554,False,False
162,118,67,479,True,True
163,346,213,243,False,True
164,112,96,568,False,True
165,383,270,755,True,True
166,378,211,206,True,False
167,427,497,335,True,False
168,8,255,210,False,False
169,31,306,310,True,True
170,314,402,263,True,True
171,343,449,458,True,False
172,269,463,266,True,True
173,183,343,609,True,False
174,355,447,721,True,False
175,428,91,645,False,True
176,112,279,989,False,False
177,336,178,208,True,True
178,322,490,835,False,False
179,458,140,989,False,False
180,391,339,421,True,True
181,163,220,77,False,False
182,7,450,533,False,False
183,95,328,959,False,False
184,12,353,645,False,True
185,374,389,415,False,True
186,455,393,904,True,False
187,457,254,342,True,False
188,15,259,126,False,True
189,103,499,582,False,True
190,313,368,686,False,True
191,161,395,341,True,False
192,466,91,546,False,False
193,379,393,198,True,True
194,192,191,61,True,True
195,142,357,99,False,False
196,178,21,509,False,False
197,288,487,312,False,True
198,364,232,376,False,True
199,87,180,245,False,True
200,4,452,137,False,True
201,64,20,864,False,True
202,257,414,709,False,True
203,462,281,314,True,False
204,354,22,920,True,True
205,30,180,71,False,True
206,307,484,763,True,True
207,477,494,695,True,True
208,334,95,251,True,False
209,401,254,343,True,False
210,384,457,233,False,False
211,25,150,78,False,False
212,482,184,367,False,False
213,152,366,512,False,True
214,273,21,708,False,True
215,198,22,702,False,False
216,296,241,444,True,True
